발생년도,2014 65-70세,2014 71세이상,2015 65-70세,2015 71세이상,2016 65-70세,2016 71세이상,2017 65-70세,2017 71세이상,2018 65-70세,2018 71세이상
사망자수,0,1,1,1,1,9,1,0,1,4
부상자수,9,16,18,29,27,29,29,25,24,26
사고건수,13,11,15,16,9,16,18,18,16,25
사망자수,1,1,0,3,1,0,1,3,0,2
부상자수,24,12,22,20,10,23,28,26,30,39
사고건수,8,9,8,14,10,18,12,15,6,18
사망자수,2,3,0,2,0,3,0,2,2,3
부상자수,8,9,9,16,14,25,23,14,6,20
사고건수,164,99,166,112,225,140,232,133,275,182
사망자수,2,6,3,5,5,3,3,6,7,9
부상자수,261,151,225,154,348,191,339,201,383,245
사고건수,124,113,128,129,125,115,154,132,165,134
사망자수,3,7,2,6,4,4,1,8,5,6
부상자수,204,153,181,215,184,160,249,161,228,185
사고건수,38,44,40,55,48,49,50,65,57,53
사망자수,2,1,2,7,2,3,0,4,2,4
부상자수,67,57,62,62,67,58,81,81,82,72
사고건수,63,76,81,83,86,86,72,87,102,106
사망자수,1,5,2,9,4,6,3,8,4,6
부상자수,88,114,106,109,130,120,100,118,159,138
사고건수,47,60,54,65,72,52,89,61,88,75
사망자수,1,10,2,3,1,4,1,3,2,2
부상자수,77,65,76,73,108,69,138,86,120,100
사고건수,35,49,51,63,61,44,47,60,50,67
사망자수,0,0,0,0,3,2,1,3,1,2
부상자수,52,82,70,87,79,71,62,86,82,96
사고건수,49,51,59,70,47,68,68,56,86,87
사망자수,1,1,1,3,5,3,2,3,1,2
부상자수,73,64,88,92,76,88,123,76,132,147
사고건수,29,41,39,47,44,58,48,59,57,49
사망자수,1,3,1,2,2,4,2,1,2,2
부상자수,48,56,50,68,73,87,79,79,94,66
사고건수,33,54,45,77,55,60,57,69,63,81
사망자수,1,4,3,1,0,4,8,4,3,6
부상자수,50,62,56,107,85,80,74,80,84,96
사고건수,13,16,14,15,11,15,9,13,13,17
사망자수,0,3,0,0,2,3,1,2,0,1
부상자수,14,19,18,21,16,13,13,16,20,28
사고건수,23,38,24,43,24,32,25,36,28,56
사망자수,1,1,1,1,4,2,3,2,1,4
부상자수,27,40,41,69,28,45,39,49,37,78
사고건수,10,19,10,6,8,19,10,15,18,17
사망자수,2,2,0,1,0,2,1,1,2,5
부상자수,14,31,15,8,12,26,20,28,19,32
사고건수,5,10,8,12,11,14,5,10,8,11
사망자수,0,0,0,1,0,0,0,1,0,0
부상자수,14,13,19,12,22,19,7,20,8,19
사고건수,18,18,32,28,21,32,33,30,26,32
사망자수,1,0,1,4,0,2,1,3,1,3
부상자수,58,30,56,53,40,55,51,39,35,43
사고건수,25,29,33,26,12,23,22,30,32,28
사망자수,2,2,1,2,0,4,2,4,1,3
부상자수,38,41,68,38,21,26,33,47,53,39
사고건수,13,26,17,22,20,17,18,26,21,25
사망자수,0,1,1,1,0,4,1,2,0,3
부상자수,25,32,28,37,23,15,24,30,29,46
사고건수,23,28,19,16,22,29,28,34,25,37
사망자수,1,1,1,4,1,4,2,5,2,1
부상자수,32,46,26,25,31,39,35,47,36,54
사고건수,33,31,43,26,41,36,46,60,56,46
사망자수,1,1,3,2,0,4,1,2,2,1
부상자수,46,46,76,47,74,67,67,81,92,60
사고건수,17,23,24,28,17,32,21,22,22,31
사망자수,1,2,2,2,2,5,1,3,1,4
부상자수,25,29,26,29,21,35,31,25,28,39
사고건수,14,30,22,20,22,22,19,16,18,23
사망자수,2,5,0,1,1,1,3,0,0,0
부상자수,20,39,41,39,36,29,35,24,32,37
사고건수,21,11,21,27,21,20,17,16,19,12
사망자수,1,2,1,3,0,0,2,1,0,0
부상자수,33,11,29,27,25,25,23,18,24,14
사고건수,2,3,2,1,2,4,1,5,2,1
사망자수,0,2,0,0,0,1,0,0,0,1
부상자수,12,1,4,3,5,3,4,13,7,0
사고건수,71,58,79,67,58,84,72,69,58,66
사망자수,1,1,0,4,2,0,2,5,2,6
부상자수,105,82,108,97,68,107,94,80,82,94
사고건수,53,48,66,44,51,55,47,53,67,54
사망자수,1,4,8,3,0,3,4,3,2,3
부상자수,75,54,83,58,61,72,57,61,89,68
사고건수,26,24,50,20,60,20,60,19,59,43
사망자수,1,2,1,1,2,0,0,0,1,1
부상자수,31,32,82,31,86,25,76,26,72,65
사고건수,78,59,91,62,93,97,126,88,118,88
사망자수,3,3,1,2,6,2,2,4,3,2
부상자수,114,84,149,81,129,139,167,109,186,122
사고건수,40,36,28,20,35,30,41,41,28,40
사망자수,1,4,1,0,2,0,3,1,1,0
부상자수,61,39,38,24,43,41,59,56,33,54
사고건수,39,16,44,17,40,19,53,19,56,32
사망자수,1,0,1,0,2,1,1,0,2,0
부상자수,52,23,65,23,67,27,76,26,70,47
사고건수,9,21,8,25,16,18,14,15,19,30
사망자수,0,1,0,4,1,2,1,3,1,2
부상자수,11,24,16,37,33,20,24,16,24,38
사고건수,15,18,25,32,21,22,30,21,22,26
사망자수,2,4,2,2,2,5,4,1,1,6
부상자수,25,26,47,38,34,21,38,25,31,30
사고건수,23,36,29,52,39,43,35,40,43,47
사망자수,2,1,2,5,2,1,2,2,0,2
부상자수,27,44,48,71,74,57,50,56,62,59
사고건수,54,24,73,47,57,42,61,43,71,45
사망자수,0,3,1,1,1,1,1,1,6,0
부상자수,80,34,116,56,82,70,100,70,95,71
사고건수,18,7,21,21,24,18,29,24,36,22
사망자수,1,0,2,7,0,2,0,2,9,2
부상자수,26,7,26,27,32,21,49,25,69,27
사고건수,66,43,46,51,55,49,52,64,55,58
사망자수,5,2,8,5,1,2,1,2,0,1
부상자수,104,72,62,69,99,71,93,86,82,79
사고건수,22,30,23,32,15,26,21,21,25,27
사망자수,3,0,0,2,1,0,1,0,3,0
부상자수,23,41,40,40,20,29,29,33,33,37
사고건수,13,18,16,20,14,22,25,32,14,25
사망자수,2,2,1,3,2,1,2,1,0,3
부상자수,21,24,23,26,20,26,28,44,16,27
사고건수,8,19,23,24,21,18,19,24,20,27
사망자수,0,2,2,3,1,0,1,1,2,0
부상자수,11,34,37,32,28,31,37,41,30,41
사고건수,18,18,7,23,23,26,16,29,17,22
사망자수,1,2,1,0,1,1,0,3,2,2
부상자수,33,16,7,33,35,34,27,38,24,37
사고건수,15,27,16,31,32,30,22,41,26,19
사망자수,0,4,0,2,5,2,1,5,0,2
부상자수,18,31,19,39,32,37,29,52,27,21
사고건수,22,24,14,21,10,35,25,38,17,26
사망자수,1,1,1,2,0,3,1,3,1,0
부상자수,30,30,25,24,13,43,33,45,28,42
사고건수,166,81,191,106,202,135,210,108,206,144
사망자수,8,4,3,7,1,7,12,9,8,7
부상자수,237,103,274,146,272,187,274,151,274,192
사고건수,163,114,149,119,151,147,155,162,200,147
사망자수,3,3,2,4,1,4,4,9,5,4
부상자수,221,136,240,160,227,204,200,266,287,221
사고건수,75,76,90,102,75,94,92,120,86,99
사망자수,6,4,2,4,1,4,1,1,2,3
부상자수,124,93,135,134,105,136,136,176,139,150
